File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated CpHs	Unmethylated CpHs	Methylated CHHs	Unmethylated CHHs
P1000_212_1_val_1.fq.gz_bismark_bt2_pe.bam	8960852	7697507	1127599	135746	0	3432464	4265043	152440607	5382763	2546597	653934	33771512	2013263	108072538
P1000_215_1_val_1.fq.gz_bismark_bt2_pe.bam	8916196	7786939	995216	134040	1	4028665	3758274	128916045	4527476	2048421	568562	28712359	1748234	91310993
P1000_217_1_val_1.fq.gz_bismark_bt2_pe.bam	9718385	8300655	1247942	169788	0	3638537	4662118	169463218	5917618	3061424	726162	37638189	2211439	119908386
P1000_219_1_val_1.fq.gz_bismark_bt2_pe.bam	8116329	7008943	967255	140131	0	2784252	4224691	145819430	5034166	2640533	622643	32643102	1879864	102999122
P1000_222_1_val_1.fq.gz_bismark_bt2_pe.bam	9355860	7977998	1210691	167168	3	3264400	4713598	169892283	5873958	3089755	738484	37665357	2255589	120269140
P1000_223_1_val_1.fq.gz_bismark_bt2_pe.bam	8120980	6886735	1101486	132759	0	2991741	3894994	137761923	4812100	2655686	644788	30568622	1970571	97110156
P1000_301_1_val_1.fq.gz_bismark_bt2_pe.bam	8890282	7829399	930412	130470	1	4379509	3449890	111893711	4107304	1601557	503785	25022757	1520843	79137465
P1000_302_1_val_1.fq.gz_bismark_bt2_pe.bam	9389310	8123410	1116688	149210	2	4990223	3133187	106781940	4063157	1752993	467774	23842001	1403595	75252420
P1000_305_1_val_1.fq.gz_bismark_bt2_pe.bam	9382201	8308576	930786	142839	0	5665362	2643214	87423408	3302841	1167502	378462	19547326	1136507	61890770
P1000_306_1_val_1.fq.gz_bismark_bt2_pe.bam	9423228	8262474	1005915	154839	0	4135943	4126531	136995945	5004746	1697956	591106	30497171	1797832	97407134
P1000_307_1_val_1.fq.gz_bismark_bt2_pe.bam	8575345	7375129	1068448	131766	2	2852387	4522742	153902464	5698450	2285112	662708	34338832	2009555	108907807
P1000_308_1_val_1.fq.gz_bismark_bt2_pe.bam	8900927	7719156	1044542	137229	0	3045535	4673621	171685839	6124063	2066834	739803	37653614	2314809	122786716
P1000_309_1_val_1.fq.gz_bismark_bt2_pe.bam	8306777	7225272	946321	135179	5	3915113	3310159	116108859	4110401	1592496	515983	25472054	1600595	82817330
P1000_310_1_val_1.fq.gz_bismark_bt2_pe.bam	8350129	7208467	1015377	126284	1	2473298	4735169	157325588	5701413	2281929	690498	34812008	2127352	111712388
P1000_403_1_val_1.fq.gz_bismark_bt2_pe.bam	8691914	7521807	1046004	124102	1	2817166	4704641	161037093	5536238	2551880	733785	35711688	2293762	114209740
P1000_404_1_val_1.fq.gz_bismark_bt2_pe.bam	9133733	7949016	1054743	129974	0	2908865	5040151	176385813	6187394	2756364	779418	39264126	2403619	124994892
P1000_405_1_val_1.fq.gz_bismark_bt2_pe.bam	10461640	9132175	1179203	150262	0	3949446	5182729	176675539	6135417	2768510	789873	39359627	2447315	125174797
P1000_406_1_val_1.fq.gz_bismark_bt2_pe.bam	7832825	6751041	949589	132191	4	1876896	4874145	166725084	5643193	2656116	739715	36943971	2302828	118439261
P1000_407_1_val_1.fq.gz_bismark_bt2_pe.bam	9876385	8522923	1192043	161418	1	2279853	6243070	214698319	7327347	3437327	1008747	47456532	3174627	152293739
P1000_411_1_val_1.fq.gz_bismark_bt2_pe.bam	9186064	7800464	1250609	134990	1	2796319	5004145	176727921	6191526	3065767	797000	39462622	2449199	124761807
P1000_501_1_val_1.fq.gz_bismark_bt2_pe.bam	9067477	7841590	1082200	143687	0	2327653	5513937	188042963	6929243	2359094	834172	41789966	2551919	133578569
P1000_603_1_val_1.fq.gz_bismark_bt2_pe.bam	10613635	9069487	1388670	155478	0	2598629	6470858	224503061	7828515	3632386	983097	49966484	3031199	159061380
P1000_604_1_val_1.fq.gz_bismark_bt2_pe.bam	8037911	6633570	1290015	114322	4	3115274	3518296	121932873	4209410	1869392	518629	26938594	1613247	86783601
